Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS,Firefox 62.0,,2018-10-27 15:54:06,2018-10-27 15:55:34,1m - 28.180s,FAILED
,,,,,,
Test Cases/TC0_save_image_from_page_to_file,Firefox 62.0,,2018-10-27 15:54:06,2018-10-27 15:54:29,22.293s,PASSED
"Statement - tmpDir = java.nio.file.Paths.get(com.kms.katalon.core.configuration.RunConfiguration.getProjectDir(), ""tmp"")",Firefox 62.0,,2018-10-27 15:54:07,2018-10-27 15:54:07,0.008s,PASSED
Statement - java.nio.file.Files.createDirectories(tmpDir),Firefox 62.0,,2018-10-27 15:54:07,2018-10-27 15:54:07,0.017s,PASSED
"Statement - imageFile = tmpDir.resolve(""kazurayam.png"").toFile()",Firefox 62.0,,2018-10-27 15:54:07,2018-10-27 15:54:07,0.021s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 15:54:07,2018-10-27 15:54:16,9.277s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-27 15:54:16,2018-10-27 15:54:24,7.067s,PASSED
Statement - testObject = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Katalon Discussion/img_Originator),Firefox 62.0,,2018-10-27 15:54:24,2018-10-27 15:54:24,0.046s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-27 15:54:24,2018-10-27 15:54:24,0.115s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.saveElementImage,Firefox 62.0,,2018-10-27 15:54:24,2018-10-27 15:54:25,1.576s,PASSED
delay,Firefox 62.0,,2018-10-27 15:54:25,2018-10-27 15:54:28,3.113s,PASSED
closeBrowser,Firefox 62.0,,2018-10-27 15:54:28,2018-10-27 15:54:29,0.390s,PASSED
,,,,,,
Test Cases/TC1_verify_images_are_similar,Firefox 62.0,,2018-10-27 15:54:29,2018-10-27 15:54:45,16.225s,PASSED
"Statement - tmpDir = java.nio.file.Paths.get(com.kms.katalon.core.configuration.RunConfiguration.getProjectDir(), ""tmp"")",Firefox 62.0,,2018-10-27 15:54:29,2018-10-27 15:54:29,0.005s,PASSED
Statement - java.nio.file.Files.createDirectories(tmpDir),Firefox 62.0,,2018-10-27 15:54:29,2018-10-27 15:54:29,0.001s,PASSED
"Statement - imageFile = tmpDir.resolve(""kazurayam.png"").toFile()",Firefox 62.0,,2018-10-27 15:54:29,2018-10-27 15:54:29,0.018s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 15:54:29,2018-10-27 15:54:34,5.108s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-27 15:54:34,2018-10-27 15:54:43,9.031s,PASSED
"Statement - testObject = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Katalon Discussion/img_Commentator, [index:6])",Firefox 62.0,,2018-10-27 15:54:43,2018-10-27 15:54:43,0.066s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-27 15:54:43,2018-10-27 15:54:43,0.048s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.verifyImagesAreSimilar,Firefox 62.0,,2018-10-27 15:54:43,2018-10-27 15:54:45,1.326s,PASSED
closeBrowser,Firefox 62.0,,2018-10-27 15:54:45,2018-10-27 15:54:45,0.391s,PASSED
,,,,,,
Test Cases/TC2_verify_images_are_similar - Falsey case,Firefox 62.0,,2018-10-27 15:54:45,2018-10-27 15:55:02,16.739s,PASSED
"Statement - tmpDir = java.nio.file.Paths.get(com.kms.katalon.core.configuration.RunConfiguration.getProjectDir(), ""tmp"")",Firefox 62.0,,2018-10-27 15:54:45,2018-10-27 15:54:45,0.001s,PASSED
Statement - java.nio.file.Files.createDirectories(tmpDir),Firefox 62.0,,2018-10-27 15:54:45,2018-10-27 15:54:45,0.003s,PASSED
"Statement - imageFile = tmpDir.resolve(""kazurayam.png"").toFile()",Firefox 62.0,,2018-10-27 15:54:45,2018-10-27 15:54:45,0.003s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 15:54:45,2018-10-27 15:54:51,5.211s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-27 15:54:51,2018-10-27 15:55:00,9.632s,PASSED
"Statement - testObject = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Katalon Discussion/img_Commentator, [index:2])",Firefox 62.0,,2018-10-27 15:55:00,2018-10-27 15:55:00,0.018s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-27 15:55:00,2018-10-27 15:55:00,0.033s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.verifyImagesAreDifferent,Firefox 62.0,,2018-10-27 15:55:00,2018-10-27 15:55:01,1.097s,PASSED
closeBrowser,Firefox 62.0,,2018-10-27 15:55:01,2018-10-27 15:55:02,0.460s,PASSED
,,,,,,
Test Cases/TC3_verify_images_are_different,Firefox 62.0,,2018-10-27 15:55:02,2018-10-27 15:55:19,17.098s,PASSED
"Statement - tmpDir = java.nio.file.Paths.get(com.kms.katalon.core.configuration.RunConfiguration.getProjectDir(), ""tmp"")",Firefox 62.0,,2018-10-27 15:55:02,2018-10-27 15:55:02,0.004s,PASSED
Statement - java.nio.file.Files.createDirectories(tmpDir),Firefox 62.0,,2018-10-27 15:55:02,2018-10-27 15:55:02,0.002s,PASSED
"Statement - imageFile = tmpDir.resolve(""kazurayam.png"").toFile()",Firefox 62.0,,2018-10-27 15:55:02,2018-10-27 15:55:02,0.002s,PASSED
openBrowser,Firefox 62.0,,2018-10-27 15:55:02,2018-10-27 15:55:08,5.741s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-27 15:55:08,2018-10-27 15:55:17,9.255s,PASSED
"Statement - testObject = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Katalon Discussion/img_Commentator, [index:6])",Firefox 62.0,,2018-10-27 15:55:17,2018-10-27 15:55:17,0.022s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-27 15:55:17,2018-10-27 15:55:17,0.102s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.verifyImagesAreSimilar,Firefox 62.0,,2018-10-27 15:55:17,2018-10-27 15:55:18,1.132s,PASSED
closeBrowser,Firefox 62.0,,2018-10-27 15:55:18,2018-10-27 15:55:19,0.463s,PASSED
,,,,,,
